Trend Name,Links,Explanation
Months of the Year Trend |Example:,https://www.instagram.com/reel/CXeFGJ0j6Cn/?utm_medium=copy_link,Posting a video tothis audioshowing a different photo/highlight from each month as it comes up in the song.
The Lipstick Filter Trend |Example:,https://www.instagram.com/reel/CWvNlbZqgGB/?utm_medium=copy_link,Posting a video tothis audiousingthis lipstick filter.
Dancing Animals Trend |Example:,https://www.instagram.com/reel/CWVuvjZqmuj/?utm_medium=copy_link,"Posting a dancing video tothis audio, usually involving a cute and fluffy animal."
6th Video in Camera Roll Trend |Example,https://www.instagram.com/reel/CMSAfuhjXFY/,: Posting a videothis audioft. the 6th video on your camera roll with a text overlay referencing the fact that this song is meant to match perfectly with the 6th vid in your camera roll.
Squid Game Trend*:,,"Everyone is going crazy over this Korean series on Netflix, so finding a way to reference Squid Game, or making Reels acting as if you’re part of the show, is a great IG Reel trend to hop on right now."
“In My Mind” Trend* |Example:,https://www.instagram.com/reel/CUGl7DxLKTz/?utm_medium=copy_link,"Posting a videoto this audiowith a text overlay that pops up in time with the music in a heart shape saying “If only you knew what goes on in my” then usually the buffering effect, followed by quick shots of what is going on your mind."
“Fancy” Trend |Example:,https://www.instagram.com/reel/CQJgosPFKrT/?utm_medium=copy_link,"Posting a video tothis audiowhere you throw three items of clothing down to the beat, then have a full outfit transition as you stomp down at the “I’m so fancy” part of the song."
“Panda” Trend*:,,"Posting a videoto this songwhere you are lipsyncing and doing cool camera transitions, usually with the Instagram fisheye filter."
“Please Leave Me Alone” Trend |Example:,https://www.instagram.com/reel/CP_UHzIgdZ2/?utm_medium=copy_link,"Posting a video lipsyncing tothis audio,with a text overlay describing a scenario where you would ask people to leave you alone."
You Know I Got the Sauce” Trend |Example:,https://www.instagram.com/reel/CTuqkzsqd0O/?utm_medium=copy_link,"“Posting a video lipsyncingto this song, with a text overlay that showcases evidence that you’re irresistible/desirable."
Photo Edit “Ding” Trend |Example:,https://www.instagram.com/reel/CRd8_I5JP7H/?utm_medium=copy_link,"Posting a video that contrasts a before/after (usually involving photography and editing), and syncing the transition with the dingin this audio."
"“Yo bro, who got you smilin like that?” Trend",https://slayingsocial.com/yo-bro-who-got-you-smilin-like-that-tiktok/,"(Originally from TikTok) |Example:Posting a videoto this soundthat starts with you grooving with the caption “Yo bro, who got you smilin like that?”, followed by a (wholesome) reason you’re smiling – often it’s a cute animal video or something else similarly adorable."
"“I’m Sorry, I just Hallucinated. What?” Trend |Example:",https://www.instagram.com/reel/CRmGBdkAHWg/?utm_medium=copy_link,Posting a video tothis audiowith a text overlay that describes a situation when you would have an incredulous “what?” reaction.
